match_id,t1_xi_bat_avg,t2_xi_bat_avg,t1_xi_bat_sr,t2_xi_bat_sr,t1_xi_bowl_wpm,t2_xi_bowl_wpm,t1_xi_bowl_er,t2_xi_bowl_er,xi_bat_diff,xi_sr_diff,xi_bowl_diff,xi_er_diff
1359475,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359476,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359477,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359478,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359479,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359480,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359481,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359482,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359483,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359484,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359485,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359486,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359487,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359488,25.0,25.0,130.0,130.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0
1359489,25.0,25.466666666666665,130.0,133.77233248233568,1.0,1.0,9.0,6.271309771309771,-0.466666666666665,-3.7723324823356847,0.0,-2.728690228690229
1359490,20.08333333333333,25.0,98.96268925739005,130.0,0.6666666666666666,1.0,8.431827349737798,9.0,-4.916666666666671,-31.037310742609947,-0.33333333333333337,0.568172650262202
1359491,39.25,30.833333333333336,166.40131473464808,133.86516711145,1.7777777777777777,1.5,6.933921815889029,8.916666666666668,8.416666666666664,32.536147623198076,0.2777777777777777,1.9827448507776388
1359492,29.0,34.333333333333336,144.64807951068187,133.07077746102138,0.8333333333333333,1.8333333333333333,8.431327756327757,8.037053163731246,-5.333333333333336,11.577302049660489,-1.0,-0.39427459259651165
1359493,21.444444444444446,30.53333333333333,100.94807153630684,175.21488947485153,0.6666666666666666,1.0833333333333333,9.200416782439566,8.195524745524745,-9.088888888888885,-74.26681793854469,-0.41666666666666663,-1.0048920369148213
1359494,35.41666666666667,20.016666666666666,144.5513249723159,130.91132981185535,1.5,0.49999999999999994,9.035894843276036,8.715435914499551,15.400000000000006,13.639995160460558,1.0,-0.3204589287764854
1359495,28.183333333333337,15.416666666666666,153.28484994006521,134.2834828846793,1.625,0.8125,7.334762605815237,7.98857839498185,12.766666666666671,19.001367055385913,0.8125,0.6538157891666136
1359496,30.65,25.93333333333333,163.50873346699169,130.66016324892598,1.1458333333333333,0.6666666666666666,8.233282988871224,9.040909090909091,4.716666666666669,32.8485702180657,0.47916666666666663,0.807626102037867
1359497,25.983333333333338,32.21666666666667,121.995390394169,163.15017977298325,1.9166666666666667,1.9722222222222223,7.737745098039215,6.81249736564805,-6.233333333333331,-41.15478937881426,-0.05555555555555558,-0.9252477323911652
1359498,25.98333333333333,32.5625,145.82527809743,140.97045735144684,1.75,1.0833333333333333,8.276059564719358,9.112373737373737,-6.579166666666669,4.854820745983147,0.6666666666666667,0.8363141726543795
1359499,27.3,26.6875,139.34189959944268,133.8152764666637,1.0416666666666667,0.5,8.786209239130436,9.491140642303433,0.6125000000000007,5.52662313277898,0.5416666666666667,0.7049314031729974
1359500,27.28,31.55,148.28995987483188,164.20455057693678,0.8375,1.6916666666666669,7.9780003111145685,7.174070887445888,-4.27,-15.914590702104903,-0.8541666666666669,-0.8039294236686807
1359501,29.919999999999998,17.293333333333333,150.1128800653126,143.702411014911,1.1666666666666667,1.2166666666666668,9.160833333333333,7.771473782139621,12.626666666666665,6.410469050401588,-0.050000000000000044,-1.3893595511937118
1359502,25.52,24.28,149.2218464966972,139.05900816070306,0.9333333333333332,0.7,8.45503579867465,8.778359145353573,1.2399999999999984,10.162838335994138,0.23333333333333328,0.32332334667892226
1359503,22.65,32.6,132.7447153414119,164.80591110941455,1.5125,1.8,7.949923148553285,8.579330546922444,-9.950000000000003,-32.06119576800265,-0.2875000000000001,0.6294073983691586
1359505,17.883333333333333,28.2,139.44365111917642,143.1293095570876,1.1666666666666667,1.15,7.87507311681636,8.872823033707865,-10.316666666666666,-3.6856584379111723,0.01666666666666683,0.9977499168915056
1359504,27.90333333333333,27.313333333333333,138.78506680062281,142.23368496600452,1.511111111111111,1.175,8.061417322834645,7.208379120879121,0.5899999999999963,-3.4486181653817027,0.336111111111111,-0.853038201955524
1359507,31.653333333333336,25.0,159.1719946719947,139.75132037593954,1.5416666666666665,1.25,8.353728369928058,8.230149579299598,6.653333333333336,19.420674296055154,0.2916666666666665,-0.12357879062846067
1359506,30.7,30.119999999999997,148.7921090367526,156.98372025435214,1.6666666666666665,1.6833333333333331,8.902786558834846,7.144527141180154,0.5800000000000018,-8.19161121759953,-0.016666666666666607,-1.758259417654692
1359508,22.383333333333333,23.30666666666667,129.90980682050704,142.23730929950796,1.0,1.425,8.00355919650614,7.918515294464913,-0.9233333333333356,-12.327502479000913,-0.42500000000000004,-0.08504390204122725
1359509,27.296666666666663,28.5,143.46008304375,149.94596488560515,1.7291666666666667,1.5416666666666667,7.137062434691745,8.527801372528245,-1.2033333333333367,-6.485881841855161,0.1875,1.3907389378364998
1359510,24.292857142857144,30.564285714285717,136.34780708087723,144.59677822762583,1.1089285714285713,1.5654761904761905,8.53626133153006,8.000096581031485,-6.271428571428572,-8.248971146748602,-0.4565476190476192,-0.5361647504985747
1359511,29.5,34.139047619047616,153.3083209622369,163.3517598836748,1.5880952380952382,1.5880952380952382,7.760795044141252,7.889899967142492,-4.639047619047616,-10.043438921437883,0.0,0.12910492300123977
1359512,26.371428571428574,28.342857142857145,146.0413958866929,148.63363088818102,1.1214285714285714,0.9166666666666666,7.016353051539565,8.656473227870585,-1.9714285714285715,-2.5922350014881204,0.2047619047619048,1.6401201763310196
1359513,27.244999999999997,27.534285714285716,153.49162027059182,179.46314394825032,1.2604166666666667,1.9196428571428572,8.609301412872842,7.259954751131222,-0.28928571428571814,-25.971523677658496,-0.6592261904761905,-1.3493466617416203
1359514,23.04761904761905,23.476190476190474,136.7552274321491,122.53802277038612,1.2273809523809525,1.0,7.785040983606557,7.741967008842719,-0.4285714285714235,14.217204661762977,0.22738095238095246,-0.04307397476383734
1359515,33.417857142857144,27.335,162.43185944065712,147.99545009754448,1.4791666666666667,1.2395833333333335,8.32011621896457,8.329360461247411,6.082857142857144,14.436409343112643,0.23958333333333326,0.009244242282841597
1359516,29.71071428571429,26.514285714285712,153.9105707203117,146.41555051567084,1.65625,1.0297619047619047,7.565435398865801,9.46258536585366,3.1964285714285765,7.495020204640866,0.6264880952380953,1.8971499669878584
1359517,30.4,28.732142857142854,149.02679228080297,154.35681974230206,1.4979166666666668,1.5104166666666667,8.979171608159392,6.637105263157895,1.6678571428571445,-5.3300274614991,-0.012499999999999956,-2.3420663450014976
1359518,24.525,28.801190476190477,140.94895300777654,182.52826202800256,1.0520833333333333,1.79375,7.393244269289407,7.3349158405467225,-4.276190476190479,-41.57930902022602,-0.7416666666666667,-0.0583284287426844
1359520,25.53333333333333,27.175,144.0775630796185,159.58212267958032,1.0866071428571429,0.9895833333333333,7.594344968811496,8.522208186949829,-1.6416666666666693,-15.504559599961823,0.09702380952380962,0.9278632181383326
1359521,35.19166666666667,23.72833333333333,155.85543520234273,139.36269686260147,0.9791666666666666,1.2836309523809524,8.338964798864225,7.839782873939327,11.463333333333338,16.492738339741265,-0.30446428571428574,-0.49918192492489855
1359522,28.55,27.062142857142856,151.99690416707222,169.6025430982908,1.7276785714285716,1.7333333333333334,7.881738918956259,7.1531925128018665,1.4878571428571448,-17.60563893121858,-0.005654761904761774,-0.7285464061543925
