match_id,venue_avg_1st_inn,venue_avg_total,venue_runs_per_wkt,venue_sixes_per_match,venue_bat_first_winrate,venue_pp_er,venue_death_er
1254085,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1254086,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1254104,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1254087,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1254111,156.0,292.0,19.466666666666665,10.0,1.0,5.416666666666667,10.125
1254105,170.5,330.0,22.75862068965517,12.5,1.0,6.979591836734694,8.881889763779528
1254096,92.0,186.0,16.90909090909091,2.0,0.0,7.367088607594937,4.25
1254113,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1254097,123.5,250.0,25.0,8.0,0.0,8.415584415584416,7.241379310344828
1254107,156.0,313.0,31.3,13.0,0.0,9.243243243243242,8.399999999999999
1254108,158.33333333333334,311.0,23.325,11.333333333333334,0.6666666666666666,6.63013698630137,9.066666666666666
1254098,133.66666666666666,258.3333333333333,24.21875,7.0,0.3333333333333333,7.184210526315789,7.632000000000001
1254100,160.0,302.25,21.589285714285715,11.0,0.75,7.061224489795919,8.53448275862069
1254099,143.0,279.5,24.304347826086957,7.75,0.25,7.450331125827814,8.11578947368421
1254092,140.5,279.0,23.25,10.0,0.5,6.698630136986302,7.8053097345132745
1254103,160.8,308.0,24.0625,10.6,0.6,7.487738419618529,8.657439446366782
1254091,136.0,271.6666666666667,20.375,9.0,0.3333333333333333,6.70909090909091,7.75
1254102,158.83333333333334,307.0,24.236842105263158,10.333333333333334,0.5,7.727891156462585,8.576576576576576
1254089,141.4,278.0,24.821428571428573,7.4,0.2,7.050397877984085,8.130612244897959
1254112,135.5,272.0,21.333333333333332,9.25,0.25,6.839590443686006,7.578947368421052
1254109,159.71428571428572,310.7142857142857,24.71590909090909,10.714285714285714,0.42857142857142855,7.712621359223301,8.65648854961832
1254090,134.2,269.8,20.753846153846155,9.2,0.2,6.80327868852459,7.621052631578947
1254110,154.125,301.125,24.09,9.875,0.375,7.479591836734694,8.48780487804878
1254093,139.16666666666666,278.5,21.423076923076923,10.5,0.3333333333333333,7.013513513513513,7.9655172413793105
1254095,149.33333333333334,294.8333333333333,28.07936507936508,9.166666666666666,0.16666666666666666,7.590200445434299,8.775510204081632
1254106,132.14285714285714,265.0,20.84269662921348,10.0,0.2857142857142857,7.121387283236994,7.614775725593668
1254094,151.625,299.0,24.65979381443299,9.375,0.25,7.760539629005059,8.191536748329622
1254101,145.25,287.125,24.698924731182796,9.0,0.125,7.52027027027027,8.39712918660287
1254088,148.14285714285714,292.42857142857144,26.93421052631579,8.714285714285714,0.2857142857142857,7.485714285714286,8.501408450704226
1254114,149.0,294.25,26.155555555555555,9.25,0.125,7.5879396984924625,8.302325581395348
1254115,137.0,263.875,20.49514563106796,10.125,0.375,6.748735244519393,7.564593301435406
1254116,134.75,259.375,19.57547169811321,9.125,0.375,6.617200674536257,7.205607476635515
1254117,149.875,302.875,28.50588235294118,9.375,0.0,7.673949579831932,8.802721088435375
1304047,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1304049,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1304048,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1304050,131.0,264.0,29.333333333333332,8.0,0.0,6.24,9.849056603773585
1304051,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1304052,205.0,413.0,59.0,27.0,0.0,8.103896103896103,11.694915254237287
1304053,177.0,356.0,32.36363636363637,13.0,0.0,7.815789473684211,13.132075471698112
1304054,144.5,291.5,29.15,9.0,0.0,6.078947368421053,10.938053097345133
1304056,210.0,359.0,27.615384615384617,20.0,1.0,5.538461538461538,12.369230769230768
1304055,166.5,336.5,28.041666666666668,19.5,0.0,7.311258278145695,9.963302752293577
1304057,193.5,388.5,35.31818181818182,15.0,0.0,9.08,12.724137931034484
1304058,175.33333333333334,345.3333333333333,25.9,19.333333333333332,0.3333333333333333,7.52,9.101123595505618
1304059,142.0,287.0,25.323529411764707,11.666666666666666,0.0,7.05726872246696,10.63235294117647
1304060,190.5,343.5,24.535714285714285,14.0,1.0,6.235294117647059,10.125
1304061,173.75,340.5,24.321428571428573,17.25,0.5,7.12751677852349,9.012448132780083
1304062,189.0,361.0,27.075,15.333333333333334,0.3333333333333333,8.616740088105725,10.899408284023668
1304063,168.8,333.2,26.444444444444443,15.6,0.4,7.283422459893048,9.059602649006623
1304064,180.66666666666666,336.6666666666667,27.2972972972973,16.0,0.6666666666666666,6.1066666666666665,11.819277108433734
1304065,189.0,365.5,27.58490566037736,14.75,0.25,8.44,10.300429184549355
1304066,148.75,300.75,27.976744186046513,12.75,0.0,6.976744186046512,10.97938144329897
1304067,166.33333333333334,329.1666666666667,27.430555555555557,14.5,0.3333333333333333,7.15695067264574,9.03370786516854
1304068,165.71428571428572,329.2857142857143,28.109756097560975,13.714285714285714,0.2857142857142857,7.197696737044146,9.137349397590361
1304069,173.25,328.25,28.543478260869566,15.5,0.5,6.180602006688963,11.698630136986301
1304070,172.0,339.25,28.568421052631578,15.0,0.375,7.102866779089377,9.481481481481481
1304071,194.2,369.6,27.176470588235293,15.6,0.4,8.57372654155496,9.993174061433447
1304072,191.0,366.5,27.835443037974684,16.166666666666668,0.3333333333333333,8.24498886414254,10.187683284457478
1304073,152.0,306.0,26.842105263157894,13.4,0.2,6.76392572944297,11.465116279069768
1304074,170.375,331.0,26.217821782178216,13.375,0.5,7.181663837011884,9.061224489795919
1304075,178.2,339.4,28.283333333333335,17.0,0.6,6.622340425531915,11.26056338028169
1304076,192.14285714285714,368.42857142857144,28.032608695652176,15.714285714285714,0.42857142857142855,8.370229007633588,10.133333333333333
1304077,173.25,336.375,27.742268041237114,13.25,0.5,7.277683134582624,8.963855421686747
1304078,195.25,375.75,28.093457943925234,16.125,0.5,8.508361204013378,9.970212765957447
1304079,171.75,334.0,28.126315789473683,12.25,0.5,7.206132879045997,9.133603238866398
1304080,158.16666666666666,315.3333333333333,27.420289855072465,14.166666666666666,0.3333333333333333,6.92920353982301,11.645962732919255
1304082,187.5,360.5,26.953271028037385,14.875,0.5,8.77,9.181208053691275
1304081,170.0,332.125,28.56989247311828,12.5,0.375,7.344651952461799,9.29032258064516
1304083,167.28571428571428,331.57142857142856,29.379746835443036,15.857142857142858,0.42857142857142855,7.1106870229007635,11.627906976744185
1304084,167.375,327.625,28.182795698924732,15.25,0.5,6.983277591973244,11.097345132743364
1304085,176.66666666666666,339.3333333333333,28.27777777777778,17.166666666666668,0.5,6.517699115044248,11.145348837209301
1304086,174.375,340.0,28.93617021276596,16.0,0.625,6.87,11.287257019438444
1304087,179.0,349.375,29.73404255319149,17.125,0.625,7.242070116861436,11.214592274678111
1304088,172.0,327.85714285714283,25.5,16.428571428571427,0.5714285714285714,6.513307984790874,10.540942928039701
1304089,169.75,325.375,24.327102803738317,13.0,0.5,8.318407960199005,8.547314578005114
1304090,170.875,332.125,25.796116504854368,13.125,0.5,7.151103565365025,8.981891348088531
1304092,169.625,322.625,24.349056603773583,16.0,0.625,6.56,10.068669527896995
1304091,180.125,351.625,29.610526315789475,16.125,0.625,6.882943143812708,11.16
1304093,183.375,356.875,29.739583333333332,16.375,0.75,7.27212020033389,10.844793713163066
1304094,171.375,333.375,25.4,13.75,0.5,7.14527027027027,9.053677932405567
1304095,168.625,326.625,25.871287128712872,16.125,0.625,6.8773109243697474,9.76293103448276
1304096,168.5,330.125,26.67676767676768,12.25,0.375,8.246256239600665,9.195979899497488
1304097,170.75,331.875,27.371134020618555,13.5,0.5,8.096026490066224,9.65743073047859
1304098,181.75,354.75,31.533333333333335,15.5,0.625,7.21,10.393700787401574
1304099,168.875,327.25,25.666666666666668,17.0,0.625,7.101010101010101,9.913606911447083
1304100,181.75,356.875,32.81609195402299,14.75,0.5,7.39,10.161100196463655
1304101,169.0,328.125,25.0,13.5,0.5,7.064189189189189,9.12396694214876
1304102,168.0,317.625,23.52777777777778,12.375,0.5,7.421848739495798,8.767241379310345
1304103,170.75,321.5,23.381818181818183,16.5,0.75,7.300840336134454,9.282275711159738
1304104,164.625,309.0,21.68421052631579,12.125,0.5,7.3244147157190636,8.397321428571429
1304105,178.0,342.875,30.477777777777778,13.375,0.5,7.223880597014926,9.776892430278885
1304106,166.0,327.25,28.150537634408604,12.875,0.5,8.14214876033058,9.774436090225564
1304107,169.875,311.875,21.695652173913043,15.25,0.875,7.242424242424242,9.006833712984054
1304108,169.125,330.375,29.043956043956044,12.625,0.375,7.083743842364532,10.049661399548533
1304109,170.25,328.875,26.31,12.875,0.625,8.554455445544555,9.412048192771083
1304110,165.75,311.25,22.844036697247706,12.75,0.5,7.215946843853821,8.776523702031604
1304111,162.375,318.75,28.651685393258425,11.5,0.25,7.425742574257426,9.219178082191782
1304112,163.0,305.875,22.045045045045047,12.75,0.5,7.422885572139304,8.619909502262443
1304113,162.125,317.375,27.9010989010989,11.5,0.375,7.410596026490066,9.027272727272727
1304114,167.625,322.875,25.574257425742573,12.5,0.625,8.267326732673267,9.200956937799042
1304115,164.875,322.625,31.096385542168676,12.125,0.375,7.579470198675496,9.178899082568806
1304116,160.375,314.5,29.6,12.5,0.25,7.016611295681064,9.41860465116279
1312197,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1312198,188.0,379.0,42.111111111111114,13.0,0.0,9.394736842105264,11.6
1312199,166.0,333.0,37.0,15.0,0.0,8.383561643835616,11.04
1312200,161.5,325.5,32.55,16.0,0.0,8.89655172413793,9.564356435643566
1359475,151.0,304.6666666666667,28.5625,13.333333333333334,0.0,7.909090909090909,9.258278145695364
1359476,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1359477,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1359479,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1359478,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1359480,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1359481,220.0,385.0,35.0,19.0,1.0,8.136986301369863,9.850746268656717
1359482,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1359483,197.5,389.5,41.0,18.0,0.5,9.32,11.627906976744185
1359484,193.0,336.0,22.4,18.0,1.0,6.078947368421053,9.0
1359485,197.0,389.0,32.416666666666664,17.0,1.0,9.35064935064935,10.59375
1359486,161.0,315.375,28.033333333333335,13.25,0.25,7.414715719063545,9.605985037406484
1359488,203.0,334.0,25.692307692307693,13.0,1.0,9.452054794520548,8.754098360655739
1359487,157.75,318.5,28.954545454545453,15.25,0.0,8.22972972972973,9.288461538461538
1359489,171.0,343.0,38.111111111111114,20.0,0.0,6.473684210526316,11.872340425531915
1359490,191.0,355.0,30.869565217391305,15.0,0.5,8.14569536423841,10.016949152542372
1359491,217.0,422.0,30.142857142857142,22.0,1.0,11.777777777777779,9.391304347826088
1359492,191.0,337.0,28.083333333333332,16.0,1.0,8.383561643835616,9.405405405405405
1359493,199.66666666666666,368.6666666666667,30.72222222222222,16.333333333333332,0.6666666666666666,8.761061946902656,11.22905027932961
1359494,191.5,384.0,38.4,23.5,0.0,7.0,11.052631578947368
1359495,157.0,292.0,20.857142857142858,12.0,0.5,6.556291390728476,8.588235294117647
1359496,157.0,307.5,26.73913043478261,12.875,0.25,7.542570951585977,9.26992287917738
1359497,167.0,337.0,30.636363636363637,16.6,0.0,8.091152815013405,10.00738007380074
1359498,185.66666666666666,364.3333333333333,31.228571428571428,19.0,0.3333333333333333,6.834080717488789,9.876404494382022
1359499,173.0,311.0,25.916666666666668,11.0,0.5,7.702702702702703,9.771428571428572
1359500,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1359502,184.66666666666666,351.6666666666667,28.513513513513512,15.0,0.3333333333333333,8.64,9.97752808988764
1359501,172.0,322.0,26.833333333333332,11.0,0.5,8.4,9.393939393939394
1359503,196.0,384.5,27.464285714285715,17.5,1.0,10.235294117647058,9.338345864661653
1359505,156.125,314.25,27.933333333333334,13.875,0.125,7.94675540765391,9.259842519685039
1359504,157.66666666666666,301.3333333333333,20.545454545454547,12.0,0.3333333333333333,6.9375,8.674698795180722
1359506,195.75,384.25,31.367346938775512,22.5,0.5,7.769491525423729,9.789473684210527
1359507,206.75,384.75,32.744680851063826,17.75,0.75,9.079470198675496,11.439024390243903
1359508,179.33333333333334,330.6666666666667,25.435897435897434,11.666666666666666,0.6666666666666666,7.668161434977579,9.928571428571429
1359509,168.66666666666666,340.1666666666667,29.579710144927535,17.5,0.0,7.647321428571428,10.486322188449847
1359510,194.4,381.6,29.8125,20.4,0.6,8.02724795640327,9.496815286624203
1359511,154.0,298.0,22.923076923076923,9.0,1.0,6.8108108108108105,8.5
1359512,172.66666666666666,322.6666666666667,25.473684210526315,12.666666666666666,0.6666666666666666,8.556053811659194,8.900662251655628
1359514,170.25,327.5,24.71698113207547,12.75,0.25,8.372093023255815,8.752066115702478
1359513,212.4,392.0,33.220338983050844,20.2,0.8,8.840425531914894,11.331210191082802
1359516,170.75,341.125,30.662921348314608,16.375,0.25,8.414023372287145,9.96796338672769
1359515,175.33333333333334,347.0,27.394736842105264,12.666666666666666,0.6666666666666666,9.716814159292037,8.580645161290322
1359517,152.0,291.75,20.473684210526315,10.5,0.5,7.135135135135135,8.097345132743364
1359518,174.14285714285714,342.85714285714283,28.571428571428573,18.0,0.14285714285714285,7.456978967495219,10.618925831202045
1359520,193.75,356.5,26.90566037735849,15.0,0.75,8.851485148514852,9.566820276497696
1359521,170.5,318.25,23.574074074074073,9.5,0.75,7.52542372881356,9.578947368421053
1359522,178.0,335.0,27.916666666666668,11.0,1.0,7.808219178082192,9.570247933884296
1359523,181.5,360.5,30.041666666666668,13.25,0.5,9.635761589403973,9.370517928286851
1359524,175.6,339.0,26.076923076923077,13.6,0.4,8.601063829787234,9.058441558441558
1359526,158.0,302.3333333333333,25.914285714285715,9.333333333333334,0.6666666666666666,7.881818181818183,8.97872340425532
1359525,168.625,331.875,27.091836734693878,16.875,0.25,7.125628140703518,10.486725663716815
1359527,206.83333333333334,386.5,33.608695652173914,20.166666666666668,0.6666666666666666,8.893333333333333,11.388429752066116
1359528,180.625,360.625,31.358695652173914,18.5,0.25,8.544554455445544,10.965986394557824
1359529,173.0,344.2,28.683333333333334,12.2,0.4,9.135278514588858,9.161073825503356
1359530,202.85714285714286,382.85714285714283,33.08641975308642,19.0,0.5714285714285714,8.88,11.32394366197183
1359531,181.375,362.625,32.59550561797753,18.75,0.125,8.643564356435643,11.120192307692308
1359532,170.6,322.0,22.676056338028168,9.8,0.8,7.572192513368984,9.030927835051546
1359533,176.5,343.8333333333333,28.65277777777778,14.333333333333334,0.3333333333333333,8.819599109131405,9.22159090909091
1359534,172.0,334.5,31.11627906976744,13.0,0.5,8.204081632653061,10.009756097560976
1359535,172.0,338.0,26.68421052631579,12.333333333333334,0.5,8.874172185430464,9.057220708446867
1359536,176.25,340.0,27.755102040816325,17.625,0.375,7.557404326123128,10.237580993520517
1359537,146.8,280.2,18.43421052631579,9.6,0.6,6.940540540540541,7.6875
1359538,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1359539,172.5,329.5,24.7125,11.166666666666666,0.6666666666666666,7.456570155902005,9.644699140401146
1359540,213.0,411.0,41.1,24.0,1.0,8.876712328767123,12.461538461538462
1359541,175.14285714285714,338.0,27.195402298850574,13.714285714285714,0.42857142857142855,8.82824427480916,8.869565217391305
1359542,196.125,372.5,33.111111111111114,18.875,0.5,8.92,11.013157894736842
1359543,187.625,371.5,31.28421052631579,20.0,0.25,8.831125827814569,11.294117647058824
1359544,195.33333333333334,381.1666666666667,29.7012987012987,20.166666666666668,0.6666666666666666,8.386363636363637,9.712
1370350,168.0,331.2857142857143,26.96511627906977,11.857142857142858,0.42857142857142855,8.727272727272727,8.95774647887324
1370351,168.5,331.0,25.70873786407767,11.5,0.5,8.565723793677204,9.0
1370352,180.125,343.0,26.133333333333333,16.375,0.5,7.465346534653466,10.08
1370353,193.0,360.625,27.21698113207547,17.875,0.625,7.943801652892563,10.079002079002079
1422119,164.125,313.625,23.44859813084112,10.0,0.5,8.24620573355818,8.762312633832977
1422121,194.625,369.0,30.75,19.375,0.625,8.909698996655518,10.849137931034484
1422120,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1422122,171.8,313.6,27.03448275862069,12.6,0.6,7.654054054054054,10.03404255319149
1422123,197.5,363.75,28.25242718446602,17.625,0.625,8.149253731343284,10.440528634361232
1422124,195.57142857142858,383.14285714285717,31.186046511627907,19.142857142857142,0.5714285714285714,8.498054474708171,9.858123569794051
1422125,163.875,313.875,24.37864077669903,10.25,0.375,8.21105527638191,9.03862660944206
1422126,174.42857142857142,335.7142857142857,27.011494252873565,11.571428571428571,0.5714285714285714,7.6978967495219885,9.550122249388753
1422127,175.33333333333334,322.3333333333333,28.441176470588236,13.666666666666666,0.6666666666666666,7.743243243243243,9.64
1422128,193.125,379.5,30.979591836734695,18.5,0.5,8.346938775510203,9.931863727454909
1422129,151.83333333333334,291.6666666666667,20.58823529411765,11.0,0.6666666666666666,7.024719101123595,8.19718309859155
1422130,193.0,353.625,26.439252336448597,16.25,0.75,8.21,9.779735682819382
1422131,165.0,320.0,23.0,14.0,0.5,8.0,9.0
1422132,192.75,381.75,33.93333333333333,19.5,0.25,9.287128712871286,11.18840579710145
1422133,194.5,382.625,31.23469387755102,19.0,0.5,9.030716723549487,9.67741935483871
1422134,191.0,362.0,32.90909090909091,16.0,1.0,7.52,10.147058823529411
1422135,191.125,350.375,26.951923076923077,15.0,0.75,8.638795986622073,9.39647577092511
1422136,187.25,359.125,30.242105263157896,14.875,0.625,8.321608040201005,9.89937106918239
1422137,176.71428571428572,327.42857142857144,29.384615384615383,14.142857142857142,0.7142857142857143,7.67953667953668,10.115702479338843
1422138,188.75,373.625,33.21111111111111,18.375,0.25,9.083469721767594,10.81159420289855
1422139,158.57142857142858,303.85714285714283,21.70408163265306,12.285714285714286,0.7142857142857143,7.366795366795367,8.305489260143199
1426260,172.875,323.5,24.186915887850468,11.625,0.5,8.24,9.151898734177216
1426261,174.0,351.0,23.4,13.0,0.0,8.76923076923077,9.864406779661016
1426262,177.5,333.0,31.341176470588234,14.0,0.625,7.8040540540540535,10.042857142857143
1426263,198.375,389.0,33.82608695652174,20.375,0.375,9.01967213114754,11.608391608391608
1426264,159.125,302.5,21.41592920353982,12.0,0.75,7.444444444444445,8.377358490566039
1426265,178.0,356.5,23.766666666666666,14.5,0.5,7.144736842105264,10.440944881889763
1426266,194.75,370.5,29.64,20.125,0.625,8.82,11.295652173913043
1426267,199.75,392.0,34.08695652173913,20.75,0.375,8.935749588138385,12.10096153846154
1426268,190.625,371.25,29.11764705882353,18.375,0.625,9.138461538461538,9.575510204081633
1426269,189.375,370.0,32.17391304347826,19.875,0.5,8.875621890547263,11.233183856502244
1426270,190.125,355.375,28.43,14.0,0.625,8.939597315436242,9.507692307692308
1426271,167.66666666666666,337.3333333333333,22.488888888888887,13.333333333333334,0.3333333333333333,6.894736842105263,10.748663101604278
1426272,155.875,302.625,22.211009174311926,11.0,0.625,7.8686868686868685,8.376623376623376
