match_id,t1_form,t1_win_streak,t1_avg_margin,t1_pp_rr_for,t1_pp_rr_against,t1_md_rr_for,t1_md_rr_against,t1_de_rr_for,t1_de_rr_against,t1_boundary_pct_for,t1_boundary_pct_against,t1_dot_pct_for,t1_dot_pct_against,t1_wickets_taken_5,t1_wickets_lost_5,t1_days_since_last,t1_season_match_no,t1_is_home_venue,t2_form,t2_win_streak,t2_avg_margin,t2_pp_rr_for,t2_pp_rr_against,t2_md_rr_for,t2_md_rr_against,t2_de_rr_for,t2_de_rr_against,t2_boundary_pct_for,t2_boundary_pct_against,t2_dot_pct_for,t2_dot_pct_against,t2_wickets_taken_5,t2_wickets_lost_5,t2_days_since_last,t2_season_match_no,t2_is_home_venue,form_diff,streak_diff,pp_for_diff,death_for_diff,margin_diff
1254085,0.0,0,0.0,8.5,8.5,8.0,8.0,9.5,9.5,18.0,18.0,35.0,35.0,6.0,6.0,30,0,0,0.0,0,0.0,8.5,8.5,8.0,8.0,9.5,9.5,18.0,18.0,35.0,35.0,6.0,6.0,30,0,0,0.0,0,0.0,0.0,0.0
1254086,0.0,0,0.0,8.5,8.5,8.0,8.0,9.5,9.5,18.0,18.0,35.0,35.0,6.0,6.0,30,0,0,0.0,0,0.0,8.5,8.5,8.0,8.0,9.5,9.5,18.0,18.0,35.0,35.0,6.0,6.0,30,0,0,0.0,0,0.0,0.0,0.0
1254104,0.0,0,0.0,8.5,8.5,8.0,8.0,9.5,9.5,18.0,18.0,35.0,35.0,6.0,6.0,30,0,0,0.0,0,0.0,8.5,8.5,8.0,8.0,9.5,9.5,18.0,18.0,35.0,35.0,6.0,6.0,30,0,0,0.0,0,0.0,0.0,0.0
1254087,0.0,0,0.0,8.5,8.5,8.0,8.0,9.5,9.5,18.0,18.0,35.0,35.0,6.0,6.0,30,0,0,0.0,0,0.0,8.5,8.5,8.0,8.0,9.5,9.5,18.0,18.0,35.0,35.0,6.0,6.0,30,0,0,0.0,0,0.0,0.0,0.0
1254111,1.0,1,55.0,7.0,9.243243243243244,10.758620689655173,7.578947368421052,13.058823529411764,6.545454545454545,22.65625,15.748031496062993,27.34375,32.28346456692913,8.0,3.0,142,1,0,0.0,0,-35.0,6.5,10.216216216216216,7.0,8.444444444444445,12.0,9.333333333333334,14.754098360655737,18.34862385321101,27.86885245901639,26.605504587155966,3.0,6.0,142,1,0,1.0,1,0.5,1.0588235294117645,90.0
1254105,0.0,0,-55.0,9.243243243243244,7.0,7.578947368421052,10.758620689655173,6.545454545454545,13.058823529411764,15.748031496062993,22.65625,32.28346456692913,27.34375,3.0,8.0,143,1,0,1.0,1,35.0,10.216216216216216,6.5,8.444444444444445,7.0,9.333333333333334,12.0,18.34862385321101,14.754098360655737,26.605504587155966,27.86885245901639,6.0,3.0,143,1,0,-1.0,-1,-0.9729729729729719,-2.787878787878789,-90.0
1254096,0.0,0,-20.0,6.833333333333333,4.0,6.1090909090909085,6.517241379310345,7.090909090909092,13.354838709677418,12.096774193548388,14.399999999999999,37.096774193548384,40.8,7.0,8.0,4,1,0,1.0,1,45.0,8.399999999999999,6.307692307692308,9.120000000000001,3.709090909090909,8.0,4.25,23.076923076923077,6.779661016949152,36.92307692307693,50.847457627118644,10.0,1.0,3,1,0,-1.0,-1,-1.5666666666666655,-0.9090909090909083,-65.0
1254113,0.0,0,-45.0,6.307692307692308,8.399999999999999,3.709090909090909,9.120000000000001,4.25,8.0,6.779661016949152,23.076923076923077,50.847457627118644,36.92307692307693,1.0,10.0,4,1,0,1.0,1,20.0,4.0,6.833333333333333,6.517241379310345,6.1090909090909085,13.354838709677418,7.090909090909092,14.399999999999999,12.096774193548388,40.8,37.096774193548384,8.0,7.0,5,1,0,-1.0,-1,2.3076923076923084,-9.104838709677418,-65.0
1254097,1.0,2,37.5,8.358108108108109,5.916666666666666,7.494949494949495,6.552631578947368,10.666666666666668,10.0,17.282420034713613,12.535779339058028,32.672121662947355,33.77569607077804,7.5,2.5,3,2,0,1.0,2,28.5,8.121621621621621,8.4900426742532,9.825738916256157,8.823371989295271,10.748161764705882,6.659824046920821,21.728125,16.077140748031496,30.471875,28.641732283464567,6.0,6.5,4,2,0,0.0,0,0.23648648648648773,-0.0814950980392144,9.0
1254107,0.0,0,-18.5,7.118421052631579,9.72972972972973,8.533898305084746,8.668650793650794,9.387096774193548,8.885416666666668,15.58017418032787,19.574311926605503,26.434426229508198,30.102752293577986,6.5,5.0,4,2,0,0.0,0,-47.5,7.288288288288289,6.75,6.842105263157895,8.652037617554859,7.2727272727272725,12.529411764705882,13.032745906761654,19.43623310810811,35.98300212473441,33.041244369369366,2.5,8.5,3,2,0,0.0,0,-0.16986723565671014,2.1143695014662756,29.0
1254108,0.0,0,-37.5,7.613305613305614,8.983783783783782,5.290909090909091,8.095714285714287,5.925,8.8,10.357043623228673,20.38801906058543,40.58766323978883,33.94826412525528,2.5,8.0,2,2,0,0.0,0,-27.5,7.837719298245613,7.108108108108108,5.686124401913875,8.27680250783699,8.0,18.677419354838708,12.689012096774194,19.02795698924731,36.12651209677419,36.52903225806452,5.0,7.0,3,2,0,0.0,0,-0.22441368493999914,-2.075,-10.0
1254098,1.0,2,40.0,9.308108108108108,7.574898785425101,9.578181818181818,4.486124401913875,16.0,6.579545454545455,23.366418527708852,10.030455508474576,34.59057071960298,43.00185381355932,8.0,2.0,3,2,0,1.0,2,25.0,6.783783783783783,7.876126126126126,6.794334975369458,6.49090909090909,11.477419354838709,7.345454545454546,16.04955752212389,13.015600211528291,35.88672566371681,33.7123215230037,7.0,5.5,2,2,0,0.0,0,2.5243243243243247,4.522580645161291,15.0
1254100,0.6666666666666666,0,8.0,6.581081081081081,7.554765291607396,8.729064039408867,8.400766511382033,9.529077540106952,7.38105916853545,17.152083333333334,14.157247271174436,33.38125,27.560096654584843,6.0,6.333333333333333,2,3,0,0.0,0,-33.333333333333336,5.96996996996997,6.111111111111112,6.525689223057644,8.095297805642632,7.7517106549364625,10.352941176470589,10.585516241364138,15.667515839009743,37.53880358451129,33.95161548743866,4.0,8.0,2,3,0,0.6666666666666666,0,0.6111111111111107,1.7773668851704896,41.333333333333336
1254099,0.3333333333333333,1,-10.666666666666666,6.356725146198831,7.597597597597598,8.01653826399589,7.743386243386244,8.258064516129032,8.826836917562725,13.09680988715625,14.94656025459337,29.54707006086454,33.618637030407,6.666666666666667,5.666666666666667,3,3,0,0.0,0,-36.333333333333336,8.17251461988304,7.333333333333333,5.326463886990203,7.966144200626959,6.533333333333334,15.326612903225806,11.968113327674024,18.197115683120256,38.41182677796642,37.73851494369655,5.333333333333333,8.0,2,3,0,0.3333333333333333,1,-1.8157894736842097,1.724731182795698,25.66666666666667
1254092,1.0,3,36.0,7.466808914177335,5.111111111111111,7.515151515151516,6.546992481203007,10.052287581699348,9.030303030303031,14.960766795629182,11.023852892705351,30.247022907573367,35.583797380518696,7.0,3.6666666666666665,3,3,0,0.6666666666666666,0,23.333333333333332,8.836984352773827,7.9388214125056225,8.858181818181817,5.718022328548645,13.87878787878788,7.198863636363637,21.133167907361457,12.378027249552156,32.055089474444316,38.96600552340269,8.0,3.3333333333333335,2,3,0,0.33333333333333337,3,-1.3701754385964922,-3.8265002970885327,12.666666666666668
1254103,0.5,0,-2.75,6.9774774774774775,8.220128022759601,8.292252575011196,8.09004856774705,9.537433155080214,7.6957943764015875,16.72585111788618,14.819616125649734,31.94650660569106,28.023013667409224,5.25,6.0,2,4,0,0.3333333333333333,1,-7.0,7.670131670131671,8.936557610241818,5.975548589341693,6.932857142857144,6.825,7.066666666666667,12.416506772441162,17.100784636881517,40.44426893151277,36.95966146362048,5.0,7.333333333333333,3,3,0,0.16666666666666669,-1,-0.6926541926541931,2.7124331550802134,4.25
1254091,0.25,1,-16.25,7.031531531531531,6.625000000000001,6.683740601503759,7.81692789968652,7.973782991202347,10.155330882352942,12.140817853292011,15.612425497143485,35.507043864854055,32.374280721270054,4.25,6.75,3,4,0,1.0,3,20.0,7.411411411411411,7.882329698119172,7.256829377519033,6.8,10.464112903225805,8.10909090909091,16.39076192531837,14.232622363241083,34.22258675684102,31.469590010044797,6.666666666666667,6.333333333333333,4,3,0,-0.75,-2,-0.3798798798798799,-2.4903299120234585,-36.25
1254102,0.75,1,21.25,8.411522048364153,7.535197140460298,8.143636363636364,5.677405635300373,12.590909090909092,7.126420454545455,19.168460001317552,12.106101082325408,35.3245029465412,38.29708478771331,8.25,4.25,3,4,0,0.25,0,-15.5,6.267543859649123,6.914414414414415,7.839676425269645,7.529761904761905,7.693548387096774,9.320127688172043,12.26163180561109,14.658196053013992,30.087131813941088,34.91225363487422,6.0,5.75,3,4,0,0.5,1,2.14397818871503,4.897360703812318,36.75
1254089,1.0,4,22.5,7.463963963963963,7.620080606922712,7.0244402149574565,6.548275862068965,9.606705367074527,7.872140762463344,15.805468138203652,12.87446677243081,36.82396486101919,32.4021925075336,6.75,5.75,2,4,0,0.4,0,-9.2,7.448648648648648,8.281365576102418,8.005230631437527,7.95061028276907,8.752527169225461,8.925866270352039,16.14490853658537,15.594010657529134,32.87427845528455,28.025887569441398,4.8,6.6,3,5,0,0.6,4,0.015315315315315381,0.8541781978490661,31.7
1254112,0.25,1,-19.75,7.345602181128497,7.0,5.717070137464875,7.8018808777429465,7.6000000000000005,12.994959677419354,12.424360857824482,16.086861152584092,38.50714594554378,36.2307154760651,5.5,7.0,4,4,0,0.75,0,23.25,7.181187766714082,5.617117117117116,7.025252525252526,6.410244360902255,9.266488413547238,8.954545454545455,14.043155741883176,11.586473740325474,31.757847825841317,37.97103387609698,7.0,5.0,4,4,0,-0.5,1,0.16441441441441462,-1.6664884135472375,-43.0
